study,image,
CheXpert,patient00085_frontal.jpg,
CheXpert,patient00086_frontal.jpg,
CheXpert,patient00112_frontal.jpg,
CheXpert,patient00114_frontal.jpg,
CheXpert,patient00122_frontal.jpg,
CheXpert,patient00155_frontal.jpg,
CheXpert,patient00161_frontal.jpg,
CheXpert,patient00171_frontal.jpg,
CheXpert,patient00172_frontal.jpg,
CheXpert,patient00225_frontal.jpg,
CheXpert,patient00232_frontal.jpg,
CheXpert,patient00237_frontal.jpg,
CheXpert,patient00240_frontal.jpg,
CheXpert,patient00251_frontal.jpg,
CheXpert,patient00261_frontal.jpg,
CheXpert,patient00262_frontal.jpg,
CheXpert,patient00286_frontal.jpg,
CheXpert,patient00287_frontal.jpg,
CheXpert,patient00314_frontal.jpg,
CheXpert,patient00323_frontal.jpg,
CheXpert,patient00326_frontal.jpg,
CheXpert,patient00374_frontal.jpg,
CheXpert,patient00378_frontal.jpg,
CheXpert,patient00391_frontal.jpg,
CheXpert,patient00394_frontal.jpg,
CheXpert,patient00403_frontal.jpg,
CheXpert,patient00404_frontal.jpg,
CheXpert,patient00421_frontal.jpg,
CheXpert,patient00437_frontal.jpg,
CheXpert,patient00448_frontal.jpg,
CheXpert,patient00473_frontal.jpg,
CheXpert,patient00491_frontal.jpg,
CheXpert,patient00497_frontal.jpg,
CheXpert,patient00504_frontal.jpg,
CheXpert,patient00510_frontal.jpg,
CheXpert,patient00516_frontal.jpg,
CheXpert,patient00545_frontal.jpg,
CheXpert,patient00616_frontal.jpg,
CheXpert,patient00617_frontal.jpg,
CheXpert,patient00624_frontal.jpg,
CheXpert,patient00627_frontal.jpg,
CheXpert,patient00632_frontal.jpg,
CheXpert,patient00644_frontal.jpg,
CheXpert,patient00687_frontal.jpg,
CheXpert,patient00696_frontal.jpg,
CheXpert,patient00701_frontal.jpg,
CheXpert,patient00702_frontal.jpg,
CheXpert,patient00737_frontal.jpg,
CheXpert,patient00748_frontal.jpg,
CheXpert,patient00750_frontal.jpg,
CheXpert,patient00754_frontal.jpg,
CheXpert,patient00773_frontal.jpg,
CheXpert,patient00778_frontal.jpg,
CheXpert,patient00779_frontal.jpg,
CheXpert,patient00798_frontal.jpg,
CheXpert,patient00814_frontal.jpg,
CheXpert,patient00825_frontal.jpg,
CheXpert,patient00871_frontal.jpg,
CheXpert,patient00885_frontal.jpg,
CheXpert,patient00896_frontal.jpg,
CheXpert,patient00897_frontal.jpg,
CheXpert,patient00904_frontal.jpg,
CheXpert,patient00910_frontal.jpg,
CheXpert,patient00919_frontal.jpg,
CheXpert,patient00946_frontal.jpg,
CheXpert,patient00974_frontal.jpg,
CheXpert,patient01043_frontal.jpg,
CheXpert,patient01066_frontal.jpg,
CheXpert,patient01071_frontal.jpg,
CheXpert,patient01090_frontal.jpg,
CheXpert,patient01099_frontal.jpg,
CheXpert,patient01110_frontal.jpg,
CheXpert,patient01114_frontal.jpg,
CheXpert,patient01127_frontal.jpg,
CheXpert,patient01137_frontal.jpg,
CheXpert,patient01141_frontal.jpg,
CheXpert,patient01165_frontal.jpg,
CheXpert,patient01167_frontal.jpg,
CheXpert,patient01172_frontal.jpg,
CheXpert,patient01183_frontal.jpg,
CheXpert,patient01202_frontal.jpg,
CheXpert,patient01204_frontal.jpg,
CheXpert,patient01208_frontal.jpg,
CheXpert,patient01221_frontal.jpg,
CheXpert,patient01254_frontal.jpg,
CheXpert,patient01257_frontal.jpg,
CheXpert,patient01263_frontal.jpg,
CheXpert,patient01274_frontal.jpg,
CheXpert,patient01275_frontal.jpg,
CheXpert,patient01322_frontal.jpg,
CheXpert,patient01331_frontal.jpg,
CheXpert,patient01369_frontal.jpg,
CheXpert,patient01375_frontal.jpg,
CheXpert,patient01389_frontal.jpg,
CheXpert,patient01441_frontal.jpg,
CheXpert,patient01443_frontal.jpg,
CheXpert,patient01448_frontal.jpg,
CheXpert,patient01457_frontal.jpg,
CheXpert,patient01479_frontal.jpg,
CheXpert,patient01489_frontal.jpg,
CheXpert,patient01508_frontal.jpg,
CheXpert,patient01518_frontal.jpg,
CheXpert,patient01528_frontal.jpg,
